"Path","Ext","Kind","Width","Height","SizeKB"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_chevron_down_hover.svg",".svg","vector","24","48","0.28"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_chevron_down_hover@2x.png",".png","raster","48","48","0.22"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_default.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_default@2x.png",".png","raster","48","48","0.28"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_disabled.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_disabled@2x.png",".png","raster","48","48","0.28"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_hover.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_hover@2x.png",".png","raster","48","48","0.28"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_pressed.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_close_pressed@2x.png",".png","raster","48","48","0.28"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_cloud_default.svg",".svg","vector","24","48","1.29"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_cloud_default@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_cloud_disabled.svg",".svg","vector","24","48","1.29"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_cloud_disabled@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_cloud_hover.svg",".svg","vector","24","48","1.29"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_cloud_hover@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_device_default.svg",".svg","vector","24","48","0.52"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_device_default@2x.png",".png","raster","48","48","0.22"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_device_disabled.svg",".svg","vector","24","48","0.52"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_device_disabled@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_device_hover.svg",".svg","vector","24","48","0.52"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_device_hover@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_filter_default.svg",".svg","vector","24","48","0.78"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_filter_default@2x.png",".png","raster","48","48","0.2"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_filter_disabled.svg",".svg","vector","24","48","0.78"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_filter_disabled@2x.png",".png","raster","48","48","0.2"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_filter_hover.svg",".svg","vector","24","48","0.78"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_filter_hover@2x.png",".png","raster","48","48","0.2"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_folder_default.svg",".svg","vector","24","48","0.45"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_folder_default@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_folder_disabled.svg",".svg","vector","24","48","0.45"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_folder_disabled@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_folder_hover.svg",".svg","vector","24","48","0.45"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_folder_hover@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_history_default.svg",".svg","vector","24","48","1.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_history_default@2x.png",".png","raster","48","48","0.34"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_history_disabled.svg",".svg","vector","24","48","1.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_history_disabled@2x.png",".png","raster","48","48","0.34"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_history_hover.svg",".svg","vector","24","48","1.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_history_hover@2x.png",".png","raster","48","48","0.34"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_lock_default.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_lock_default@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_lock_disabled.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_lock_disabled@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_lock_hover.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_lock_hover@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_login_default.svg",".svg","vector","24","48","0.53"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_login_default@2x.png",".png","raster","48","48","0.26"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_login_disabled.svg",".svg","vector","24","48","0.53"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_login_disabled@2x.png",".png","raster","48","48","0.26"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_login_hover.svg",".svg","vector","24","48","0.53"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_login_hover@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_logout_default.svg",".svg","vector","24","48","0.53"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_logout_default@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_logout_disabled.svg",".svg","vector","24","48","0.53"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_logout_disabled@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_logout_hover.svg",".svg","vector","24","48","0.53"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_logout_hover@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plugin_default.svg",".svg","vector","24","48","0.67"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plugin_default@2x.png",".png","raster","48","48","0.26"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plugin_disabled.svg",".svg","vector","24","48","0.67"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plugin_disabled@2x.png",".png","raster","48","48","0.26"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plugin_hover.svg",".svg","vector","24","48","0.67"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plugin_hover@2x.png",".png","raster","48","48","0.26"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_default.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_default@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_disabled.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_disabled@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_hover.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_hover@2x.png",".png","raster","48","48","0.2"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_pressed.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_plus_pressed@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_default.svg",".svg","vector","24","48","0.36"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_default@2x.png",".png","raster","48","48","0.3"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_disabled.svg",".svg","vector","24","48","0.36"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_disabled@2x.png",".png","raster","48","48","0.3"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_hover.svg",".svg","vector","24","48","0.36"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_hover@2x.png",".png","raster","48","48","0.29"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_pressed.svg",".svg","vector","24","48","0.36"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_search_pressed@2x.png",".png","raster","48","48","0.29"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_server_default.svg",".svg","vector","24","48","0.54"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_server_default@2x.png",".png","raster","48","48","0.19"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_server_disabled.svg",".svg","vector","24","48","0.54"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_server_disabled@2x.png",".png","raster","48","48","0.19"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_server_hover.svg",".svg","vector","24","48","0.54"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_server_hover@2x.png",".png","raster","48","48","0.19"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_settings_default.svg",".svg","vector","24","48","1.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_settings_default@2x.png",".png","raster","48","48","0.34"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_settings_disabled.svg",".svg","vector","24","48","1.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_settings_disabled@2x.png",".png","raster","48","48","0.34"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_settings_hover.svg",".svg","vector","24","48","1.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_settings_hover@2x.png",".png","raster","48","48","0.34"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_active.svg",".svg","vector","24","48","0.68"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_active@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_default.svg",".svg","vector","24","48","0.68"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_default@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_disabled.svg",".svg","vector","24","48","0.68"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_disabled@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_hover.svg",".svg","vector","24","48","0.68"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_sync_hover@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_user_default.svg",".svg","vector","24","48","0.81"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_user_default@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_user_disabled.svg",".svg","vector","24","48","0.81"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_user_disabled@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_user_hover.svg",".svg","vector","24","48","0.81"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_user_hover@2x.png",".png","raster","48","48","0.25"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_video_default.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_video_default@2x.png",".png","raster","48","48","0.23"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_video_disabled.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_video_disabled@2x.png",".png","raster","48","48","0.23"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_video_hover.svg",".svg","vector","24","48","0.4"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\base\base_icon_video_hover@2x.png",".png","raster","48","48","0.23"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\brand\brand_logo_dark.svg",".svg","vector","640","176","0.69"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\brand\brand_logo_dark@2x.png",".png","raster","1200","600","38.26"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\brand\brand_logo_light.svg",".svg","vector","640","176","0.69"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\brand\brand_logo_light@2x.png",".png","raster","1200","600","65.8"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_completed_active.svg",".svg","vector","24","48","0.37"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_completed_active@2x.png",".png","raster","48","48","0.31"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_completed_default.svg",".svg","vector","24","48","0.37"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_completed_default@2x.png",".png","raster","48","48","0.32"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_delete_default.svg",".svg","vector","24","48","1.05"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_delete_default@2x.png",".png","raster","48","48","0.22"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_delete_disabled.svg",".svg","vector","24","48","1.05"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_delete_disabled@2x.png",".png","raster","48","48","0.22"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_delete_hover.svg",".svg","vector","24","48","1.05"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_delete_hover@2x.png",".png","raster","48","48","0.21"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_active.svg",".svg","vector","24","48","0.55"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_active@2x.png",".png","raster","48","48","0.23"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_default.svg",".svg","vector","24","48","0.55"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_default@2x.png",".png","raster","48","48","0.24"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_disabled.svg",".svg","vector","24","48","0.55"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_disabled@2x.png",".png","raster","48","48","0.23"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_hover.svg",".svg","vector","24","48","0.55"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_download_hover@2x.png",".png","raster","48","48","0.23"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_favorite_active.svg",".svg","vector","24","48","0.35"
"E:\FFmpeg_whisper\ffmpeg_music_player\design_exports\netease_ui_pack_20260309\icon\ui\list\list_icon_favorite_active@2x.png",".png","raster","48","48","0.27"
